student_id,gender,branch,year,study_hours_per_week,attendance_pct,extracurricular_hours,income_bracket,internet_access,Mathematics,Programming,Data Structures,Electronics,Communication Skills,final_marks,grade,result
STU0001,Male,AI & DS,TE,5.3,66.6,10.3,Middle,Yes,37.8,39.7,22.9,39.7,35.6,37.5,D,Pass
STU0002,Female,Computer Engineering,FE,7.1,62.2,0.2,High,Yes,40.5,45.4,46.5,38.3,44.8,42.4,D,Pass
STU0003,Female,AI & DS,FE,18.0,82.1,3.1,Low,Yes,76.0,70.8,64.2,61.4,68.9,69.1,B,Pass
STU0004,Female,AI & DS,SE,8.7,65.4,0.2,High,Yes,44.8,58.8,62.9,70.7,56.7,61.8,C,Pass
STU0005,Male,AI & DS,SE,6.8,63.4,1.4,Middle,Yes,41.6,38.6,34.2,44.6,49.4,41.7,D,Pass
STU0006,Male,IT,TE,14.7,77.9,4.9,High,Yes,63.8,57.2,62.8,63.0,64.7,64.4,C,Pass
STU0007,Male,Computer Engineering,TE,17.9,77.0,1.7,Middle,Yes,97.3,100.0,100.0,93.2,100.0,100.0,A+,Pass
STU0008,Female,Computer Engineering,SE,15.6,77.8,15.0,Middle,Yes,52.5,42.2,43.7,37.2,32.3,42.1,D,Pass
STU0009,Female,IT,FE,17.0,66.9,2.5,High,Yes,41.9,45.9,40.5,55.0,43.9,47.2,D,Pass
STU0010,Female,E&TC,BE,8.2,72.4,1.2,Low,Yes,67.4,57.2,70.0,63.6,63.0,62.8,C,Pass
STU0011,Male,AI & DS,SE,4.9,66.4,0.7,High,Yes,39.2,54.7,33.5,33.8,43.9,37.1,D,Pass
STU0012,Female,E&TC,SE,19.5,78.8,1.3,Middle,Yes,82.4,68.4,64.8,77.9,77.2,74.8,B,Pass
STU0013,Female,IT,FE,10.4,78.8,1.4,Middle,Yes,46.0,47.4,49.3,45.1,51.9,50.0,C,Pass
STU0014,Male,AI & DS,TE,10.7,81.5,0.2,Low,Yes,54.2,61.1,58.8,67.6,51.8,58.6,C,Pass
STU0015,Male,Mechanical,TE,18.6,71.4,1.4,Middle,Yes,100.0,97.7,95.1,100.0,87.2,94.1,A+,Pass
STU0016,Male,Civil,FE,14.8,73.1,1.9,Low,No,72.0,75.1,77.6,66.6,71.3,69.4,B,Pass
STU0017,Male,AI & DS,FE,14.3,72.4,3.8,Low,Yes,65.1,85.2,73.0,70.6,66.2,74.4,B,Pass
STU0018,Male,Computer Engineering,TE,22.8,82.2,3.2,Low,Yes,64.7,70.9,67.2,52.2,64.7,67.9,B,Pass
STU0019,Male,Mechanical,TE,8.8,78.1,3.7,Low,Yes,42.5,33.9,33.6,31.3,43.2,40.2,D,Pass
STU0020,Male,E&TC,FE,16.6,80.1,0.0,High,Yes,44.9,38.4,44.8,31.9,34.0,39.9,D,Pass
STU0021,Female,AI & DS,BE,12.3,73.9,0.7,High,Yes,48.9,54.8,54.1,53.8,62.6,53.0,C,Pass
STU0022,Male,Computer Engineering,FE,13.3,61.3,3.3,Middle,Yes,53.7,83.6,68.7,69.2,78.5,71.2,B,Pass
STU0023,Male,Computer Engineering,SE,19.6,90.6,2.0,Middle,Yes,90.6,79.1,76.1,79.4,78.1,87.5,A+,Pass
STU0024,Male,IT,BE,14.5,69.0,0.0,Low,No,49.8,64.3,65.8,55.4,51.5,57.1,C,Pass
STU0025,Male,IT,SE,14.7,79.6,4.9,Middle,Yes,53.5,66.7,58.2,68.6,51.9,65.6,B,Pass
STU0026,Female,Computer Engineering,TE,17.4,84.8,4.4,High,Yes,47.8,69.8,61.3,68.0,60.1,64.8,C,Pass
STU0027,Male,IT,SE,10.2,84.1,2.4,High,No,59.8,54.3,57.1,43.5,59.5,54.9,C,Pass
STU0028,Male,E&TC,FE,7.8,59.7,0.2,Middle,Yes,60.1,54.2,52.1,58.5,56.8,59.3,C,Pass
STU0029,Female,AI & DS,BE,6.8,44.7,4.4,Middle,No,13.1,19.0,5.5,6.2,17.3,14.5,F,Fail
STU0030,Male,Computer Engineering,SE,2.2,64.3,2.6,Low,Yes,49.4,45.0,28.4,46.5,32.0,41.1,D,Pass
STU0031,Female,E&TC,BE,22.3,100.0,4.6,High,Yes,100.0,100.0,100.0,100.0,100.0,98.3,A+,Pass
STU0032,Male,Mechanical,FE,6.5,78.3,4.2,Low,Yes,53.6,43.8,40.6,38.5,40.6,43.9,D,Pass
STU0033,Male,IT,FE,10.9,75.8,4.9,Middle,Yes,56.9,61.7,82.9,60.7,65.4,65.3,B,Pass
STU0034,Female,IT,FE,10.6,69.9,2.2,Middle,No,83.6,74.4,77.8,81.0,83.2,83.8,A,Pass
STU0035,Female,AI & DS,TE,13.5,84.1,0.5,Middle,Yes,57.1,71.7,61.3,53.3,59.2,66.8,B,Pass
STU0036,Female,Computer Engineering,SE,16.1,73.1,3.3,Low,Yes,71.7,75.6,69.7,75.1,66.2,73.1,B,Pass
STU0037,Male,IT,BE,16.3,85.0,2.9,High,Yes,61.8,57.5,64.8,61.7,69.1,63.3,C,Pass
STU0038,Male,Computer Engineering,SE,9.1,75.9,4.1,Low,Yes,59.8,52.8,53.2,61.8,58.4,56.0,C,Pass
STU0039,Female,Computer Engineering,BE,11.2,83.0,0.6,Middle,Yes,68.6,65.5,72.0,61.7,74.6,68.3,B,Pass
STU0040,Male,Computer Engineering,FE,13.4,99.5,0.7,Low,Yes,77.6,65.0,68.0,70.2,75.8,73.9,B,Pass
STU0041,Male,AI & DS,BE,10.8,77.1,6.6,Low,Yes,47.5,38.4,35.0,34.3,44.2,43.3,D,Pass
STU0042,Male,Computer Engineering,TE,20.0,82.0,4.2,Middle,Yes,93.6,73.9,69.9,74.7,70.3,80.7,A,Pass
STU0043,Male,Computer Engineering,TE,14.5,78.6,7.2,Middle,Yes,78.9,78.3,67.5,73.7,79.2,80.8,A,Pass
STU0044,Female,Computer Engineering,BE,15.7,66.2,4.3,Low,Yes,64.8,66.0,67.3,76.4,70.2,70.4,B,Pass
STU0045,Male,AI & DS,TE,15.3,74.4,2.7,Low,Yes,80.6,69.3,77.3,74.9,90.8,79.1,A,Pass
STU0046,Female,Mechanical,TE,17.9,80.0,3.2,Middle,Yes,66.3,83.2,67.3,71.8,75.2,71.1,B,Pass
STU0047,Male,IT,FE,12.9,72.6,6.6,Middle,Yes,76.9,75.5,75.5,65.7,77.2,68.0,B,Pass
STU0048,Male,E&TC,FE,5.5,68.4,2.6,High,Yes,47.3,44.3,56.4,41.4,52.6,49.0,D,Pass
STU0049,Male,E&TC,BE,14.0,71.6,3.0,Low,Yes,49.1,54.1,50.5,51.5,48.2,52.5,C,Pass
STU0050,Male,IT,TE,8.7,80.3,0.5,Middle,Yes,58.1,63.4,50.1,64.5,61.6,60.9,C,Pass
STU0051,Female,AI & DS,TE,9.4,72.2,1.9,Low,Yes,47.5,50.3,39.8,36.0,44.6,43.2,D,Pass
STU0052,Female,IT,SE,14.9,79.3,3.8,Low,Yes,58.7,54.7,56.0,64.5,54.0,59.6,C,Pass
STU0053,Female,IT,FE,18.2,81.0,0.9,Middle,Yes,75.1,85.6,75.1,73.9,76.7,79.0,A,Pass
STU0054,Female,E&TC,FE,12.1,77.0,0.7,Middle,Yes,76.7,63.4,62.5,63.8,65.5,66.7,B,Pass
STU0055,Female,Computer Engineering,TE,13.5,84.2,1.1,Low,Yes,48.2,45.3,49.4,56.5,62.9,53.3,C,Pass
STU0056,Female,AI & DS,SE,20.5,79.7,0.8,Low,Yes,94.2,98.3,91.7,90.0,81.5,94.0,A+,Pass
STU0057,Male,Computer Engineering,FE,13.2,71.9,0.7,Low,No,67.9,71.7,60.2,64.2,71.2,64.0,C,Pass
STU0058,Male,Computer Engineering,SE,25.0,90.1,1.7,High,Yes,74.5,99.8,85.5,82.4,78.7,84.3,A,Pass
STU0059,Male,IT,FE,14.8,68.5,7.2,High,Yes,46.0,35.9,45.3,43.9,34.9,43.1,D,Pass
STU0060,Male,IT,SE,3.2,57.6,2.1,Low,No,23.4,33.9,24.2,15.4,36.8,29.7,F,Fail
STU0061,Male,Computer Engineering,FE,15.8,76.7,0.6,Low,Yes,70.3,62.9,73.0,54.4,69.8,65.4,B,Pass
STU0062,Male,Civil,TE,13.9,85.1,0.2,High,Yes,64.8,75.3,64.7,74.3,78.1,70.6,B,Pass
STU0063,Female,IT,SE,18.4,86.1,3.6,High,Yes,76.2,63.2,62.3,78.2,76.8,72.0,B,Pass
STU0064,Male,Computer Engineering,SE,15.4,81.5,1.4,Middle,Yes,53.0,38.8,48.7,40.9,58.8,46.4,D,Pass
STU0065,Male,AI & DS,FE,11.3,81.5,5.2,Low,No,52.5,42.6,42.4,45.8,50.7,47.3,D,Pass
STU0066,Male,AI & DS,FE,5.9,66.5,3.2,Low,No,36.2,35.2,36.6,36.5,33.8,34.7,F,Fail
STU0067,Male,Computer Engineering,SE,11.0,77.4,4.8,Middle,Yes,63.7,61.3,50.7,69.3,67.2,65.1,B,Pass
STU0068,Female,AI & DS,SE,7.7,69.2,1.0,Middle,Yes,39.9,47.4,51.8,31.2,50.9,43.4,D,Pass
STU0069,Male,AI & DS,TE,9.1,73.9,3.5,Low,No,75.7,73.1,70.9,61.6,62.2,66.9,B,Pass
STU0070,Female,Computer Engineering,FE,14.9,74.8,0.9,Middle,Yes,41.2,49.0,36.4,43.4,41.5,45.4,D,Pass
